Timestamp,قم بإرفاق الصور والفيديوهات للمحل من الداخل,(نسخ من قوقل ماب اذا وجد) اسم المكان,Email Address,رابط الموقع في قوقل مابس,صورة واجهة المحل,الحي,Latitude,Longitude
7/23/2024 9:54:33,"https://drive.google.com/open?id=1XXXXUNIPLuePPHmNpzg4aIxlWgovInAN, https://drive.google.com/open?id=1PZr9SPWk4VccH4Ey0_6baQIU1CCvOlpf",المصباح بلند,d7mi.amer@gmail.com,,https://drive.google.com/open?id=1f6-MX7lMioUITaxhUcDP6E5O3dF_0_pp,,,
7/23/2024 9:59:41,"https://drive.google.com/open?id=1BUJG1Y0aZCSg1k4Y11QNLQs7c0gC3byl, https://drive.google.com/open?id=127oCwnIZwvDifriaJ1w9VA8SpfZYm0Bx",فليموس Flamous,d7mi.amer@gmail.com,https://maps.app.goo.gl/mYYWEhXnPypp1bVK7?g_st=com.google.maps.preview.copy,https://drive.google.com/open?id=1IQ4GahLo-EK-cSxmCh_LA1QOwxao02ne,,24.6761347,46.67541
7/23/2024 10:03:45,"https://drive.google.com/open?id=1X-SDkAfTF7N2ciiZO-ccCLAuo5OgyR_h, https://drive.google.com/open?id=1KA064gGl8p-GpT-oJG9WSxLM3KbPSQDc",Hamburgini هامبرغيني - Al Takhassusi,d7mi.amer@gmail.com,https://maps.app.goo.gl/fku6VRvRp3ZT4yE76?g_st=com.google.maps.preview.copy,https://drive.google.com/open?id=1DOwSaZ51FVLH2F-RrU6r6QzvDKGDYQ1T,,24.6761946,46.6755578
7/23/2024 10:13:19,"https://drive.google.com/open?id=18dEtTGVplxMzZU9X6s9APzopsYDf_dw-, https://drive.google.com/open?id=18PUNRwybC9a5u67MzN1CEz5S0Eyjdj3D",Shawarma Classic | شاورما كلاسك,d7mi.amer@gmail.com,https://maps.app.goo.gl/rS6wdt411BC1Nq7b9?g_st=com.google.maps.preview.copy,https://drive.google.com/open?id=1Ug1G8zNK2M9D-uwXIZrt4AP8nCtIQokl,,24.676302,46.675682
7/23/2024 12:45:41,"https://drive.google.com/open?id=165X4fTY40zDznt4ubpyHcScM0_yxb9Pl, https://drive.google.com/open?id=1ff6ePS1f3GtzTm8OmbutuPt5KqQHaGp9",Baskin Robbins,d7mi.amer@gmail.com,https://maps.app.goo.gl/U5WnimnEWn1DZHcRA?g_st=com.google.maps.preview.copy,https://drive.google.com/open?id=1Feos11POnHe3BApheQGooFKQN-KXZDbf,,24.6762502,46.6756926
7/23/2024 12:48:09,"https://drive.google.com/open?id=1NP2Nspo4Td3rGXxDvO8p6TBBmA4wcYWD, https://drive.google.com/open?id=18i1767yMwPzULSaAvlMUXKbwScKHvTVj",KFC,d7mi.amer@gmail.com,https://maps.app.goo.gl/GkF9eXsTBQvTHQ8ZA?g_st=com.google.maps.preview.copy,https://drive.google.com/open?id=1dMjO8JZ0nxCLMyZ1onj2lFfJPMBPbYeV,,24.6764546,46.6761413
7/23/2024 12:50:31,"https://drive.google.com/open?id=1Tu-UzbLBPafyl1hzUt-IJ0hqv5Wcy8zp, https://drive.google.com/open?id=1W4b0DVxb6-1FhCChHDFfjLqlgioT5X07",الرشاقة السعيدة فرع آول بلازا,d7mi.amer@gmail.com,https://maps.app.goo.gl/Xar5hqUSbRryhQyV9?g_st=com.google.maps.preview.copy,https://drive.google.com/open?id=10YdX8FygRf7LRZQEwNvdZ9B2VYO-S4zm,,24.6761919,46.6754907
7/23/2024 12:52:34,"https://drive.google.com/open?id=13uawIcoX6gHbh1rVksgrugLf2ZNrTyPt, https://drive.google.com/open?id=1MLfKuClZ9sW6EWn0YWtWMYvifLGbhO0Z",The Body Shop,d7mi.amer@gmail.com,https://maps.app.goo.gl/TKwVY2MsTW1X2G3L9?g_st=com.google.maps.preview.copy,https://drive.google.com/open?id=1RGI9lOqm6gZ0WQoDkDY9SiInQyRsAYaz,,24.676507,46.6762455
7/23/2024 12:54:29,"https://drive.google.com/open?id=1mEP147kX6L9ogUXqgyHVF_ZhN1jfG9Mw, https://drive.google.com/open?id=165d1QMY8Z9d4p1gwRi1hCZ5dr5ks6GIt",Starbucks,d7mi.amer@gmail.com,https://maps.app.goo.gl/8WFEux9k2nAL9FNn7?g_st=com.google.maps.preview.copy,https://drive.google.com/open?id=17xXIdIj5aguS5tDtMCllp7u6SLv9yhtF,,24.6763674,46.676509
7/23/2024 12:57:11,"https://drive.google.com/open?id=1CFujK9aR2hFbImLnXShghexiDkU1srYK, https://drive.google.com/open?id=1-uA8ErrYbWKVT3McAsX5rAssHv2jqDU2, https://drive.google.com/open?id=1HQLNgvhJOJtklhJEGQh1TRSplXLu5Xzh",Haagen Dazs,d7mi.amer@gmail.com,https://maps.app.goo.gl/xPJ5fQvsd6ora4RA9?g_st=com.google.maps.preview.copy,https://drive.google.com/open?id=1Z27dhMK2mYsoBzYW36cxQSrs-R50eWCv,,24.6762034,46.6767775
